dies,XI gr.65/17,X gr.75/27,I gr.100/17
1938-12-23,1156,3461,2200
1938-12-24,835,618,817
1938-12-25,0,0,0
1938-12-26,86,939,660
1938-12-27,90,89,60
1938-12-28,54,298,196
1938-12-29,0,204,300
1938-12-30,26,1026,900
1938-12-31,28,1279,960
1939-01-01,0,0,0
1939-01-02,0,0,0
1939-01-03,680,457,1650
1939-01-04,51,439,400
1939-01-05,0,0,200
1939-01-06,0,0,170
1939-01-07,197,215,398
1939-01-08,81,48,500
1939-01-09,0,0,211
1939-01-10,230,37,200
1939-01-11,0,62,150
1939-01-12,392,12,90
1939-01-13,0,244,98
1939-01-14,0,360,190
1939-01-15,0,0,0
1939-01-16,0,549,185
1939-01-17,0,30,0
1939-01-18,0,670,0
1939-01-19,0,20,0
1939-01-20,0,37,0
1939-01-21,0,0,0
1939-01-22,0,557,0
1939-01-23,0,584,0
1939-01-24,0,0,150
1939-01-25,0,531,0
1939-01-26,0,0,0
1939-01-27,0,30,0
1939-01-28,0,61,319
1939-01-29,1611,822,335
1939-01-30,837,312,133
1939-01-31,511,634,165
1939-02-01,415,90,137
1939-02-02,421,0,203
1939-02-03,0,45,11
1939-02-04,0,0,0
1939-02-05,321,380,351
1939-02-06,585,23,0
1939-02-07,410,723,456
1939-02-08,0,104,90
