dies,it.mort.uff,it.mort.truppe,it.ferit.uff,it.ferit.truppe,esp.mort.uff,esp.mort.truppe,esp.ferit.uff,esp.ferit.truppe,total.mort,total.ferit,total.mal
1938-12-25,0,0,1,2,0,0,0,0,0,3,65
1938-12-26,0,0,1,2,0,2,1,7,2,11,86
1938-12-27,0,0,0,2,0,0,0,10,0,12,0
1938-12-28,0,0,0,0,0,0,0,1,0,1,0
1938-12-29,0,0,0,0,0,0,0,6,0,6,0
1938-12-30,0,0,0,1,0,1,2,5,1,8,0
1938-12-31,0,0,1,1,0,3,0,16,3,18,0
1939-01-01,0,0,1,1,0,0,0,4,0,6,0
1939-01-02,0,0,0,1,0,0,0,17,0,18,0
1939-01-03,1,5,2,16,1,21,7,189,28,214,0
1939-01-04,0,0,0,1,0,1,0,8,1,9,10
1939-01-05,0,0,0,0,0,0,0,1,0,1,18
1939-01-06,0,0,0,2,0,1,0,5,1,7,0
1939-01-07,0,0,0,2,0,0,0,2,0,4,90
1939-01-08,0,0,0,0,0,0,0,2,0,2,0
1939-01-09,0,0,0,0,0,5,4,22,5,26,0
1939-01-10,0,0,0,0,0,0,0,1,0,1,17
1939-01-11,0,0,0,0,0,0,0,0,0,0,0
1939-01-12,0,0,0,0,0,0,0,3,0,3,0
1939-01-13,0,0,0,0,0,0,0,2,0,2,0
1939-01-14,0,0,0,0,0,1,0,5,1,5,0
1939-01-15,0,0,0,0,0,0,0,0,0,0,15
1939-01-16,2,2,3,0,0,3,1,36,7,40,15
1939-01-17,0,0,0,0,0,0,0,0,0,0,0
1939-01-18,0,0,0,0,0,0,0,0,0,0,18
1939-01-19,0,0,0,0,0,0,0,0,0,0,30
1939-01-20,0,0,0,0,0,0,0,3,0,3,0
1939-01-21,0,0,0,0,0,0,0,0,0,0,19
1939-01-22,0,0,1,2,0,3,0,11,3,14,10
1939-01-23,0,0,0,0,0,6,0,12,6,12,21
1939-01-24,0,0,0,6,1,7,5,24,8,35,0
1939-01-25,0,0,0,0,1,2,0,11,2,11,0
1939-01-26,0,0,0,1,0,2,0,4,2,5,0
1939-01-27,0,0,0,1,0,1,0,4,1,5,36
1939-01-28,0,0,0,0,0,0,0,0,0,0,0
1939-01-29,0,0,2,2,0,3,0,34,3,38,100
1939-01-30,0,0,0,0,0,0,0,1,0,1,0
1939-01-31,0,0,0,1,0,0,0,4,0,5,0
1939-02-01,0,0,0,0,0,0,0,0,0,0,24
1939-02-02,1,0,0,2,0,0,1,16,1,19,21
1939-02-03,0,0,0,5,0,1,0,20,1,25,0
1939-02-04,1,0,2,6,1,21,4,97,23,109,21
1939-02-05,1,0,0,3,0,0,0,13,1,16,35
1939-02-06,0,0,0,0,0,1,0,10,1,10,84
1939-02-07,1,0,0,0,0,0,0,9,1,9,0
1939-02-08,0,0,0,0,0,0,0,3,0,3,7
